Mach number,Cd*A
---
3.238,1.402
3.239,1.402
3.24,1.402
3.241,1.401
3.242,1.401
3.243,1.401
3.244,1.401
3.245,1.401
3.247,1.401
3.248,1.401
3.249,1.401
3.25,1.401
3.251,1.401
3.252,1.401
3.253,1.401
3.254,1.401
3.256,1.4
3.257,1.4
3.259,1.4
3.26,1.4
3.261,1.4
3.262,1.4
3.264,1.4
3.265,1.4
3.266,1.4
3.267,1.4
3.268,1.4
3.269,1.4
3.27,1.4
3.271,1.399
3.272,1.4
3.263,1.402
3.258,1.402
3.246,1.403
3.237,1.403
3.235,1.403
3.233,1.403
3.229,1.404
3.227,1.404
3.225,1.404
3.223,1.405
3.22,1.405
3.218,1.405
3.216,1.406
3.214,1.406
3.211,1.407
3.209,1.407
3.207,1.407
3.204,1.408
3.201,1.408
3.199,1.408
3.196,1.409
3.194,1.409
3.192,1.409
3.19,1.409
3.187,1.409
3.186,1.41
3.184,1.41
3.182,1.41
3.177,1.41
3.175,1.41
3.174,1.41
3.169,1.41
3.167,1.41
3.166,1.41
3.163,1.41
3.159,1.411
3.156,1.411
3.154,1.411
3.153,1.411
3.146,1.411
3.14,1.412
3.138,1.412
3.136,1.412
3.134,1.412
3.132,1.412
3.13,1.413
3.128,1.413
3.125,1.413
3.123,1.413
3.112,1.415
3.111,1.415
3.109,1.415
3.107,1.415
3.104,1.415
3.102,1.416
3.099,1.416
3.096,1.416
3.094,1.416
3.092,1.416
3.088,1.417
3.083,1.417
3.081,1.417
3.079,1.417
3.078,1.417
3.075,1.417
3.073,1.418
3.071,1.418
3.068,1.418
3.066,1.418
3.064,1.418
3.062,1.418
3.06,1.418
3.055,1.419
3.053,1.419
3.051,1.419
3.045,1.419
3.042,1.419
3.04,1.419
3.038,1.42
3.035,1.42
3.034,1.42
3.032,1.42
3.03,1.421
3.025,1.421
3.024,1.422
3.021,1.422
3.019,1.422
3.017,1.423
3.014,1.423
3.012,1.423
3.009,1.423
3.008,1.424
3.006,1.424
3.003,1.424
3.001,1.424
2.999,1.425
2.998,1.425
2.993,1.425
2.988,1.426
2.987,1.426
2.984,1.426
2.982,1.427
2.977,1.427
2.975,1.427
2.974,1.428
2.971,1.428
2.967,1.428
2.964,1.429
2.962,1.429
2.961,1.429
2.958,1.429
2.956,1.43
2.953,1.43
2.951,1.43
2.949,1.43
2.946,1.43
2.944,1.43
2.941,1.431
2.94,1.431
2.938,1.431
2.93,1.432
2.928,1.432
2.926,1.432
2.925,1.432
2.924,1.432
2.921,1.432
2.919,1.432
2.917,1.432
2.915,1.432
2.914,1.432
2.913,1.432
2.911,1.433
2.909,1.433
2.907,1.433
2.903,1.433
2.901,1.433
2.899,1.433
2.898,1.433
2.897,1.433
2.895,1.434
2.893,1.434
2.891,1.434
2.889,1.435
2.887,1.435
2.885,1.435
2.882,1.436
2.881,1.436
2.879,1.436
2.878,1.436
2.877,1.437
2.876,1.437
2.875,1.437
2.872,1.437
2.871,1.437
2.87,1.437
2.868,1.437
2.867,1.437
2.866,1.438
2.864,1.438
2.863,1.438
2.862,1.438
2.861,1.438
2.86,1.438
2.859,1.438
2.857,1.438
2.856,1.438
2.855,1.438
2.854,1.438
2.853,1.438
2.851,1.438
2.85,1.438
2.849,1.438
2.847,1.438
2.845,1.439
2.844,1.439
2.843,1.439
2.841,1.439
2.84,1.439
2.839,1.44
2.837,1.44
2.836,1.44
2.833,1.481
2.831,1.442
2.83,1.442
2.829,1.442
2.827,1.442
