Mach number,Cd*A
6.759,5.793
6.757,5.792
6.754,5.791
6.749,5.788
6.747,5.787
6.745,5.785
6.743,5.784
6.742,5.784
6.74,5.783
6.738,5.782
6.737,5.781
6.734,5.779
6.731,5.778
6.729,5.776
6.728,5.776
6.726,5.774
6.724,5.773
6.722,5.772
6.721,5.772
6.718,5.77
6.715,5.768
6.713,5.767
6.712,5.767
6.71,5.765
6.708,5.764
6.707,5.763
6.705,5.762
6.703,5.761
6.702,5.761
6.699,5.759
6.696,5.757
6.694,5.756
6.691,5.754
6.689,5.753
6.687,5.752
6.686,5.752
6.684,5.75
6.681,5.749
6.678,5.747
6.677,5.747
6.675,5.745
6.67,5.743
6.668,5.741
6.665,5.739
6.662,5.738
6.661,5.737
6.658,5.736
6.655,5.735
6.654,5.734
6.652,5.733
6.651,5.733
6.649,5.732
6.647,5.731
6.645,5.73
6.643,5.729
6.642,5.729
6.639,5.727
6.636,5.726
6.635,5.725
6.633,5.724
6.632,5.724
6.629,5.723
6.627,5.721
6.626,5.721
6.624,5.72
6.62,5.718
6.619,5.718
6.616,5.716
6.613,5.715
6.61,5.713
6.603,5.71
6.601,5.709
6.6,5.708
6.597,5.707
6.594,5.706
6.592,5.704
6.591,5.704
6.589,5.703
6.587,5.702
6.585,5.701
6.582,5.699
6.579,5.698
6.578,5.697
6.576,5.696
6.575,5.696
6.572,5.694
6.571,5.693
6.569,5.692
6.568,5.692
6.566,5.69
6.563,5.689
6.562,5.688
6.56,5.687
6.559,5.686
6.556,5.685
6.553,5.683
6.551,5.682
6.55,5.681
6.549,5.681
6.548,5.681
6.546,5.679
6.545,5.679
6.543,5.677
6.541,5.676
6.539,5.675
6.537,5.674
6.536,5.673
6.533,5.672
6.531,5.67
6.53,5.67
6.529,5.669
6.527,5.668
6.525,5.666
6.523,5.665
6.521,5.664
6.52,5.663
6.518,5.662
6.517,5.661
6.514,5.66
6.512,5.658
6.511,5.657
6.509,5.656
6.507,5.655
6.505,5.654
6.504,5.653
6.502,5.652
6.501,5.651
6.499,5.65
6.497,5.649
6.495,5.647
6.492,5.646
6.489,5.643
6.486,5.641
6.484,5.64
6.483,5.639
6.481,5.638
6.479,5.636
6.477,5.635
6.475,5.634
6.473,5.632
6.472,5.631
6.469,5.63
6.468,5.629
6.466,5.628
6.465,5.627
6.463,5.626
6.462,5.625
6.459,5.624
6.457,5.622
6.455,5.621
6.454,5.62
6.452,5.619
6.45,5.618
6.448,5.617
6.447,5.616
6.445,5.615
6.443,5.613
6.442,5.613
6.439,5.611
6.437,5.61
6.435,5.609
6.432,5.607
6.43,5.605
6.428,5.604
6.427,5.603
6.426,5.602
6.425,5.602
6.423,5.6
6.42,5.599
6.418,5.597
6.417,5.596
6.415,5.595
6.413,5.593
6.412,5.592
6.409,5.591
6.407,5.589
6.406,5.588
6.403,5.586
6.402,5.586
6.4,5.584
6.398,5.583
6.396,5.581
6.395,5.58
6.394,5.579
6.393,5.578
6.39,5.576
6.389,5.575
6.387,5.574
6.386,5.573
6.383,5.571
6.382,5.569
6.38,5.568
6.379,5.567
6.376,5.565
6.374,5.563
6.373,5.562
6.371,5.56
6.369,5.559
6.366,5.556
6.362,5.553
6.359,5.55
6.353,5.545
6.35,5.542
6.349,5.54
6.344,5.535
6.341,5.532
6.339,5.531
6.336,5.527
6.334,5.526
6.331,5.522
6.328,5.519
6.325,5.515
6.322,5.511
6.316,5.504
6.314,5.501
6.304,5.488
6.302,5.484
6.299,5.48
6.296,5.477
6.288,5.464
6.285,5.46
6.276,5.446
6.273,5.441
6.257,5.413
6.254,5.407
6.244,5.388
6.238,5.374
6.235,5.367
6.225,5.345
6.222,5.338
6.219,5.33
6.206,5.296
6.203,5.287
6.197,5.268
6.194,5.259
6.188,5.239
6.175,5.196
6.159,5.138
6.15,5.101
6.147,5.088
6.144,5.074
6.128,5.004
6.118,4.958
6.109,4.91
6.103,4.877
6.093,4.825
6.087,4.79
6.078,4.735
6.065,4.659
6.059,4.62
6.056,4.6
6.046,4.541
6.037,4.481
6.034,4.461
6.021,4.382
6.015,4.344
6.005,4.288
5.999,4.253
5.987,4.188
5.984,4.173
5.98,4.169
5.974,4.134
5.962,4.096
5.958,4.089
5.949,4.079
5.94,4.075
5.93,4.07
5.924,4.067
5.921,4.066
5.912,4.061
5.902,4.057
5.899,4.055
5.89,4.051
5.887,4.049
5.877,4.045
5.874,4.043
5.868,4.04
5.862,4.037
5.852,4.033
5.849,4.031
5.84,4.026
5.837,4.025
5.827,4.02
5.821,4.017
5.812,4.013
5.802,4.008
5.799,4.006
5.79,4.001
5.78,3.997
5.774,3.993
5.771,3.992
5.762,3.987
5.755,3.983
5.749,3.98
5.746,3.979
5.743,3.977
5.734,3.973
5.731,3.971
5.721,3.966
5.712,3.961
5.706,3.958
5.699,3.955
5.693,3.951
5.684,3.945
5.678,3.942
5.672,3.938
5.665,3.934
5.659,3.93
5.656,3.928
5.65,3.924
5.644,3.919
5.637,3.915
5.628,3.909
5.625,3.907
5.616,3.9
5.606,3.894
5.6,3.89
5.597,3.888
5.588,3.881
5.578,3.875
5.575,3.872
5.572,3.87
5.563,3.864
5.557,3.859
5.551,3.855
5.544,3.85
5.535,3.843
5.529,3.839
5.52,3.832
5.517,3.829
5.507,3.822
5.498,3.815
5.495,3.813
5.486,3.805
5.479,3.801
5.476,3.798
5.47,3.794
5.464,3.789
5.455,3.782
5.442,3.772
5.436,3.767
5.427,3.759
5.421,3.753
5.412,3.745
5.406,3.739
5.399,3.734
5.396,3.731
5.39,3.725
5.384,3.719
5.372,3.707
5.362,3.698
5.356,3.692
5.353,3.689
5.344,3.68
5.341,3.677
5.332,3.667
5.323,3.658
5.316,3.652
5.31,3.646
5.301,3.636
5.295,3.63
5.286,3.621
5.283,3.617
5.273,3.608
5.267,3.601
5.257,3.592
5.254,3.588
5.244,3.578
5.241,3.575
5.234,3.569
5.228,3.562
5.218,3.552
5.215,3.549
5.205,3.539
5.199,3.532
5.189,3.522
5.183,3.515
5.176,3.508
5.17,3.501
5.16,3.491
5.15,3.48
5.144,3.473
5.141,3.469
5.131,3.458
5.124,3.451
5.115,3.44
5.105,3.428
5.099,3.421
5.089,3.409
5.076,3.394
5.07,3.386
5.06,3.375
5.057,3.371
5.054,3.367
5.044,3.356
5.034,3.345
5.028,3.337
5.025,3.334
5.015,3.322
5.008,3.315
4.999,3.303
4.996,3.299
4.992,3.296
4.983,3.284
4.98,3.28
4.97,3.269
4.964,3.261
4.954,3.25
4.947,3.242
4.941,3.235
4.938,3.231
4.922,3.212
4.912,3.2
4.906,3.193
4.903,3.189
4.896,3.181
4.89,3.173
4.88,3.162
4.877,3.158
4.867,3.146
4.861,3.138
4.858,3.134
4.851,3.126
4.845,3.118
4.835,3.107
4.829,3.099
4.82,3.087
4.816,3.083
4.813,3.079
4.804,3.067
4.797,3.059
4.791,3.052
4.781,3.04
4.775,3.033
4.769,3.025
4.759,3.015
4.753,3.007
4.743,2.996
4.737,2.989
4.727,2.979
4.721,2.972
4.711,2.961
4.708,2.958
4.699,2.947
4.692,2.94
4.683,2.93
4.677,2.924
4.667,2.914
4.661,2.907
4.651,2.897
4.645,2.891
4.636,2.881
4.629,2.875
4.62,2.866
4.614,2.86
4.604,2.851
4.598,2.845
4.592,2.839
4.585,2.833
4.576,2.824
4.573,2.821
4.566,2.816
4.557,2.807
4.551,2.801
4.541,2.793
4.535,2.788
4.526,2.78
4.52,2.775
4.51,2.767
4.507,2.765
4.498,2.758
4.495,2.755
4.488,2.751
4.473,2.74
4.464,2.734
4.457,2.73
4.448,2.724
4.442,2.72
4.433,2.714
4.43,2.713
4.417,2.705
4.414,2.704
4.408,2.7
4.399,2.695
4.396,2.694
4.386,2.689
4.383,2.687
4.377,2.684
4.368,2.68
4.362,2.677
4.353,2.672
4.34,2.667
4.331,2.663
4.325,2.66
4.322,2.659
4.316,2.656
4.313,2.655
4.301,2.65
4.295,2.647
4.292,2.646
4.286,2.643
4.28,2.641
4.277,2.64
4.267,2.636
4.261,2.633
4.252,2.629
4.246,2.627
4.237,2.623
4.231,2.621
4.228,2.62
4.219,2.616
4.213,2.614
4.21,2.613
4.207,2.612
4.198,2.608
4.195,2.607
4.192,2.606
4.183,2.603
4.18,2.601
4.172,2.598
4.166,2.596
4.157,2.592
4.151,2.59
4.142,2.586
4.136,2.584
4.133,2.582
4.127,2.58
4.115,2.575
4.106,2.571
4.101,2.569
4.098,2.568
4.089,2.564
4.086,2.563
4.083,2.561
4.071,2.556
4.063,2.552
4.054,2.548
4.048,2.546
4.039,2.542
4.028,2.536
4.022,2.533
4.013,2.529
4.011,2.528
4.005,2.525
3.993,2.519
3.988,2.517
3.985,2.515
3.979,2.513
3.971,2.509
3.968,2.508
3.962,2.505
3.954,2.501
3.945,2.497
3.939,2.495
3.934,2.492
3.928,2.49
3.92,2.486
3.914,2.483
3.909,2.481
3.906,2.479
3.903,2.478
3.895,2.474
3.892,2.473
3.884,2.469
3.875,2.465
3.87,2.462
3.867,2.461
3.859,2.457
3.85,2.453
3.848,2.451
3.834,2.445
3.826,2.441
3.821,2.438
3.812,2.434
3.81,2.432
3.802,2.428
3.794,2.424
3.788,2.421
3.778,2.415
3.759,2.405
3.754,2.402
3.751,2.401
3.746,2.398
3.741,2.395
3.736,2.392
3.731,2.39
3.723,2.385
3.72,2.384
3.712,2.38
3.707,2.377
3.702,2.374
3.7,2.373
3.692,2.369
3.687,2.366
3.679,2.362
3.677,2.361
3.669,2.357
3.664,2.354
3.659,2.351
3.654,2.349
3.646,2.345
3.636,2.339
3.631,2.337
3.624,2.333
3.619,2.33
3.612,2.326
3.604,2.322
3.602,2.321
3.594,2.317
3.592,2.316
3.589,2.314
3.582,2.31
3.58,2.309
3.572,2.305
3.57,2.303
3.563,2.299
3.558,2.296
3.55,2.291
3.546,2.288
3.541,2.285
3.536,2.282
3.529,2.278
3.521,2.273
3.517,2.27
3.509,2.266
3.507,2.264
3.5,2.26
3.495,2.256
3.488,2.252
3.478,2.245
3.473,2.242
3.466,2.237
3.462,2.234
3.457,2.231
3.452,2.228
3.445,2.223
3.438,2.218
3.426,2.209
3.421,2.206
3.416,2.203
3.412,2.2
3.405,2.195
3.4,2.192
3.393,2.187
3.39,2.185
3.383,2.18
3.371,2.172
3.364,2.167
3.362,2.165
3.355,2.16
3.352,2.168
3.345,2.163
3.34,2.149
3.338,2.147
3.331,2.142
3.326,2.138
3.324,2.136
3.319,2.133
3.314,2.129
3.309,2.125
3.305,2.122
3.302,2.12
3.292,2.113
3.29,2.111
3.28,2.103
3.276,2.1
3.271,2.096
3.268,2.094
3.266,2.092
3.259,2.086
3.254,2.082
3.249,2.078
3.244,2.075
3.237,2.069
3.234,2.067
3.227,2.061
3.219,2.055
3.217,2.053
3.209,2.047
3.207,2.045
3.202,2.041
3.195,2.036
3.187,2.03
3.182,2.026
3.177,2.022
3.172,2.019
3.164,2.013
3.162,2.011
3.154,2.006
3.144,1.998
3.136,1.993
3.126,1.985
3.123,1.983
3.121,1.982
3.113,1.976
3.105,1.97
3.102,1.968
3.092,1.961
3.084,1.956
3.078,1.952
3.07,1.947
3.068,1.945
3.06,1.939
3.051,1.934
3.049,1.932
3.043,1.928
3.035,1.923
3.032,1.921
3.024,1.916
3.016,1.91
3.01,1.907
3.004,1.903
2.999,1.9
2.987,1.893
2.978,1.888
2.969,1.883
2.966,1.881
2.957,1.876
2.949,1.871
2.94,1.867
2.931,1.862
2.925,1.859
2.919,1.856
2.913,1.852
2.904,1.848
2.902,1.846
2.893,1.842
2.884,1.837
2.878,1.834
2.872,1.831
2.867,1.828
2.858,1.824
2.855,1.822
2.846,1.818
2.835,1.813
2.826,1.809
2.821,1.806
2.812,1.802
2.809,1.801
2.8,1.797
2.798,1.796
2.789,1.792
2.783,1.79
2.775,1.786
2.772,1.785
2.764,1.781
2.761,1.78
2.752,1.776
2.744,1.772
2.738,1.77
2.733,1.768
2.727,1.765
2.719,1.762
2.716,1.761
2.707,1.757
2.699,1.754
2.696,1.753
2.694,1.752
2.685,1.749
2.677,1.746
2.671,1.744
2.666,1.742
2.658,1.74
2.652,1.738
2.647,1.736
2.641,1.734
2.633,1.732
2.63,1.731
2.622,1.729
2.619,1.728
2.611,1.726
2.603,1.724
2.6,1.723
2.592,1.721
2.584,1.72
2.581,1.719
2.576,1.719
2.573,1.718
2.56,1.716
2.555,1.716
2.552,1.715
2.549,1.715
2.536,1.714
2.531,1.714
2.52,1.713
2.518,1.713
2.512,1.713
2.507,1.712
2.502,1.712
2.496,1.712
2.491,1.712
2.486,1.712
2.481,1.712
2.476,1.712
2.468,1.712
2.463,1.712
2.457,1.712
2.452,1.712
2.447,1.712
2.442,1.712
2.437,1.712
2.429,1.712
2.424,1.712
2.419,1.712
2.414,1.712
2.408,1.712
2.401,1.712
2.363,1.71
2.358,1.71
2.289,1.71
2.279,1.71
2.272,1.71
2.262,1.71
2.257,1.709
2.252,1.709
2.247,1.709
2.243,1.709
2.235,1.708
2.233,1.708
2.226,1.708
2.216,1.708
2.209,1.707
2.207,1.707
2.2,1.707
2.197,1.707
2.19,1.706
2.188,1.706
2.181,1.705
2.174,1.705
2.171,1.705
2.164,1.704
2.162,1.704
2.155,1.704
2.153,1.703
2.146,1.703
2.143,1.703
2.141,1.703
2.134,1.703
2.127,1.702
2.12,1.702
2.118,1.702
2.111,1.702
2.109,1.702
2.102,1.701
2.1,1.701
2.093,1.701
2.091,1.701
2.084,1.701
2.077,1.7
2.075,1.7
2.068,1.699
2.066,1.699
2.059,1.699
2.055,1.698
2.051,1.698
2.046,1.697
2.044,1.697
2.037,1.697
2.035,1.696
2.028,1.696
2.024,1.695
2.02,1.695
2.013,1.694
